,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,label
132259,0.10300000000000001,['Tracy Chapman'],0.799,181267,0.27399999999999997,0,7wBf5LhqfF6A9AVHILTJWi,3.15e-05,7,0.0961,-18.148,1,If Not Now...,48,1988-04-05,0.0371,108.926,0.53,1988,0
17849,0.977,"[""Anita O'Day"", 'Oscar Peterson Quartet']",0.648,241000,0.0391,0,25WtkgYzdYCR0n1IsnvnxY,5.59e-05,9,0.0917,-22.378,1,I've Got The World On A String,16,1957-01-01,0.0372,76.184,0.327,1957,0
108334,0.983,['Frente Popular'],0.675,95973,0.366,0,0zNaYXRKM2fPsMSWct7YSK,0.0,7,0.8420000000000001,-7.4689999999999985,1,Mamita Mia - Remastered,2,1936-03-12,0.11,96.55799999999999,0.667,1936,0
163389,0.973,"['Giacomo Puccini', 'Maria Callas', 'Herbert von Karajan', 'Orchestra Del Teatro Alla Scala, Milano']",0.293,212480,0.15,0,3lHmvtlqo421jbAfQM1Q2a,0.00109,8,0.134,-12.88,0,"Puccini: Madama Butterfly, Act 2: ""Che tua madre dovrà"" (Butterfly)",13,1955,0.04,62.903999999999996,0.10099999999999999,1955,0
157173,0.765,['Chuck Mangione'],0.56,613040,0.38,0,450X6juQ93aqSeEfigaWtz,0.71,0,0.0638,-11.762,1,Maui-Waui,34,1977-12-08,0.0346,80.69800000000002,0.389,1977,0
123575,0.0035600000000000002,['Tom Petty'],0.531,298600,0.695,0,7bBJ2wBvhbCiNaZRqG3yTr,0.00305,7,0.14800000000000002,-5.811,1,Honey Bee,45,1994-10-21,0.0283,93.306,0.687,1994,0
5067,0.0009109999999999999,['The Black Crowes'],0.369,313760,0.98,0,3sGx2KM96oeSp4bR90stYe,0.0014,7,0.155,-3.031,1,Stare It Cold,36,1990-02-13,0.0476,122.555,0.652,1990,0
809,0.9109999999999999,"['Max Bruch', 'Isaac Stern', 'Eugene Ormandy', 'Philadelphia Orchestra']",0.149,512800,0.265,0,56qNZGOr3Aaj6l40lR5fck,0.191,3,0.22899999999999998,-14.761,1,"Violin Concerto No. 1 in G Minor, Op. 26: II. Adagio",0,1947,0.0396,102.596,0.0603,1947,0
44682,0.0369,['Grateful Dead'],0.629,319049,0.619,0,0LySJYHLVsptnmWaSKIzDi,0.00023799999999999998,5,0.0858,-11.948,1,Tons of Steel - 2013 Remaster,27,1987,0.0386,121.134,0.705,1987,0
89195,0.986,['Roy Fox'],0.5529999999999999,174627,0.0361,0,28PPmTajNWKDsqQ9TOXhAB,0.0017,0,0.11599999999999999,-23.019000000000002,1,On a Steamer Coming Over,1,1934,0.0678,97.54,0.319,1934,0
33251,0.992,"['Ruggero Leoncavallo', 'Alfredo Simonetto', 'Carla Gavazzi', 'Marcello Rossi', 'Carlo Tagliabue', 'Orchestra Sinfonica e Coro di Milano della RAI']",0.225,83907,0.434,0,2Cu5IXSRvwVGhvDUqL9cJ2,0.154,11,0.406,-11.378,0,"Leoncavallo: Pagliacci, Act I Scene 3: Non mi tentar! (Nedda, Silvio, Tonio)",0,1951-01-01,0.046,92.064,0.0394,1951,0
107980,0.993,"[""Orchestra Sinfonica e Coro dell'Eiar""]",0.552,259267,0.44299999999999995,0,0sne8dKQBNtJaM04GOxPhm,0.0056,2,0.25,-12.274000000000001,1,Marcia Delle Legioni (Roma Rivendica L'Impero),2,1933,0.0492,116.485,0.401,1933,0
128591,0.9570000000000001,"['Johannes Brahms', 'Arturo Toscanini']",0.266,544960,0.17300000000000001,0,01XW7KrY2WDZ5VHCribChr,0.9209999999999999,4,0.087,-14.455,0,"Symphony No. 4 in E Minor, Op. 98: IV. Allegro energico e passionata",0,1951,0.0367,106.99700000000001,0.0906,1951,0
86057,0.000579,['Sum 41'],0.402,178267,0.914,1,4KacUpvbA3Mfo05gttTjhN,0.0,9,0.065,-5.215,1,Fat Lip,72,2001-01-01,0.142,196.505,0.626,2001,0
3170,0.285,['Shuggie Otis'],0.456,202867,0.52,0,1vRwPRZUvEitotI7vcdvQY,6.37e-06,0,0.314,-12.929,1,Someone's Always Singing,32,1971,0.0304,130.246,0.46799999999999997,1971,0
64769,0.6759999999999999,['Nelson Riddle'],0.665,132800,0.434,0,6PHXXl3x2nNPoilqsAASU9,0.0005769999999999999,7,0.12,-11.613,0,Instant Music (Two Beat Society),12,1962-06-21,0.0362,102.084,0.836,1962,0
