,album,artist_ratio,artists,id,name,popularity,preview_url,title_ratio,uri
0,BLAME IT ON BABY,95.0,"DaBaby, Roddy Ricch",7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),100.0,,94.0,spotify:track:7ytR5pFWmSjzHJIeQkgog4
1,After Hours,100.0,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,99.0,,100.0,spotify:track:0VjIjW4GlUZAMYd2vXMi3b
2,Suga,81.0,Megan Thee Stallion,55CHeLEfn5iJ0IIkgaa4si,Savage,86.0,https://p.scdn.co/mp3-preview/c0240762e32d735387bb594760d0d84e44102100?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:55CHeLEfn5iJ0IIkgaa4si
3,Collection One,100.0,SAINt JHN,0easEmosKkPhksg0qidzXo,Roses,74.0,https://p.scdn.co/mp3-preview/61499f5316f873a45469beda341cb4d47332eaaf?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:0easEmosKkPhksg0qidzXo
4,Say So (feat. Nicki Minaj),95.0,"Doja Cat, Nicki Minaj",11VApNQCWLJdzxWrlmwzUa,Say So (feat. Nicki Minaj),85.0,https://p.scdn.co/mp3-preview/d07fbbe4e6c0ce64f63d8b94c1e5cb893cc24a1d?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,92.0,spotify:track:11VApNQCWLJdzxWrlmwzUa
5,Intentions,95.0,"Justin Bieber, Quavo",364dI1bYnvamSnBJ8JcNzN,Intentions,88.0,,100.0,spotify:track:364dI1bYnvamSnBJ8JcNzN
6,Changes,95.0,"Justin Bieber, Quavo",4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),87.0,,95.0,spotify:track:4umIPjkehX1r7uhmGvXiSV
7,Fine Line,100.0,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,95.0,https://p.scdn.co/mp3-preview/0c51b5f7ed852504844feebfb4f4b7f099452662?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6UelLqGlWMcVH1E5c4H7lY
8,Blueberry Faygo,100.0,Lil Mosey,6wJYhPfqk3KGhHRG76WzOh,Blueberry Faygo,90.0,,100.0,spotify:track:6wJYhPfqk3KGhHRG76WzOh
9,Certified Hitmaker,100.0,Lil Mosey,22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,88.0,,100.0,spotify:track:22LAwLoDA5b4AaGSkg6bKW
10,My Turn (Deluxe),91.0,"Lil Baby, 42 Dugg",6gxKUmycQX7uyMwJcweFjp,We Paid (feat. 42 Dugg),87.0,,93.0,spotify:track:6gxKUmycQX7uyMwJcweFjp
11,Fine Line,100.0,Harry Styles,3jjujdWJ72nww5eGnfs2E7,Adore You,88.0,https://p.scdn.co/mp3-preview/2dbeaa922270b3372d221f09c773a38696aed573?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:3jjujdWJ72nww5eGnfs2E7
12,Rain On Me (with Ariana Grande),94.0,"Lady Gaga, Ariana Grande",24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),93.0,,95.0,spotify:track:24ySl2hOPGCDcxBxFIqWBu
13,Hollywood's Bleeding,100.0,Post Malone,21jGcNKet2qwijlDFuPiPb,Circles,91.0,,100.0,spotify:track:21jGcNKet2qwijlDFuPiPb
14,The Bigger Picture,100.0,Lil Baby,44gRhRi2OhEf7moAUj6MD1,The Bigger Picture,86.0,,100.0,spotify:track:44gRhRi2OhEf7moAUj6MD1
15,The Bigger Picture,100.0,Lil Baby,4sDMiX1n4kfXgJd9nOXGpt,The Bigger Picture,63.0,,100.0,spotify:track:4sDMiX1n4kfXgJd9nOXGpt
16,Don't Start Now,100.0,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,90.0,https://p.scdn.co/mp3-preview/ed151225213380a41e5c4af00ff558e25b5875d1?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg
17,Please Excuse Me For Being Antisocial,100.0,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,The Box,93.0,https://p.scdn.co/mp3-preview/52c74a85b9b187b8f51bfe1c7b19a25f7624161a?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:0nbXyq5TXYPCO7pr3N8S4I
18,GIRL,100.0,Maren Morris,7yFhA2fUsL2oIMWlw5DaHQ,The Bones,77.0,https://p.scdn.co/mp3-preview/7d53fc638000344dc9ab4d419a1b52bc848610ae?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:7yFhA2fUsL2oIMWlw5DaHQ
19,Life Is Good (feat. Drake),92.0,"Future, Drake",5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),88.0,https://p.scdn.co/mp3-preview/79199a9ab949b5803197efb455c224299d7d5949?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,96.0,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc
20,Falling,100.0,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,Falling,89.0,https://p.scdn.co/mp3-preview/dac6a7bd1f1333d17afe8c12b71ee11e3c233efd?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4TnjEaWOeW0eKTKIEvJyCa
21,Break My Heart,100.0,Dua Lipa,1raaNykBg1bDnWENUiglUA,Break My Heart,88.0,https://p.scdn.co/mp3-preview/db7293c1d12874c0b4e604999ef04f05b185e5d9?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:1raaNykBg1bDnWENUiglUA
22,Goldmine,100.0,Gabby Barrett,23T0OX7QOiIUFShSzbJ5Uo,I Hope,75.0,https://p.scdn.co/mp3-preview/41fc0d71737c474bf5eec0fd0f93af115f360d2b?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:23T0OX7QOiIUFShSzbJ5Uo
23,One Margarita,100.0,Luke Bryan,6NhS5LwYbJ6xD7BGvlWRJO,One Margarita,78.0,,100.0,spotify:track:6NhS5LwYbJ6xD7BGvlWRJO
24,Where the Light Is,100.0,Surfaces,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,92.0,,100.0,spotify:track:1Cv1YLb4q0RzL6pybtaMLo
25,"Sunday Best (feeling good, like i should)",100.0,Surfaces,3O7R5wVfbeQdXNOL7yntEB,"Sunday Best (feeling good, like i should)",53.0,,96.0,spotify:track:3O7R5wVfbeQdXNOL7yntEB
26,poems of the past,94.0,"Powfu, beabadoobee",5TEH4r5OBFcKZJBjF4qOxL,death bed (coffee for your head),68.0,https://p.scdn.co/mp3-preview/5bc9716d7c7b66ebe07a641265cd3124f8b9e16c?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,95.0,spotify:track:5TEH4r5OBFcKZJBjF4qOxL
27,Before You Go,100.0,Lewis Capaldi,7ce20yLkzuXXLUhzIDoZih,Before You Go,88.0,,100.0,spotify:track:7ce20yLkzuXXLUhzIDoZih
28,Toosie Slide,100.0,Drake,127QTOFJsJQp5LbJbu3A1y,Toosie Slide,93.0,,100.0,spotify:track:127QTOFJsJQp5LbJbu3A1y
29,SOUTHSIDE,100.0,Sam Hunt,10xuH52YSXHWFwCaF1fsDd,Hard To Forget,75.0,,100.0,spotify:track:10xuH52YSXHWFwCaF1fsDd
30,Girls in the Hood,100.0,Megan Thee Stallion,6WbTTAGKrQtCQvmc5BuYfh,Girls in the Hood,79.0,https://p.scdn.co/mp3-preview/d3fa63b67b6431276e7638d7fa2337b7f89ad2c5?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6WbTTAGKrQtCQvmc5BuYfh
31,Girls in the Hood,100.0,Megan Thee Stallion,3FNFhtTqXxO6pHXLHO63Jl,Girls in the Hood,58.0,https://p.scdn.co/mp3-preview/c1711da44f6ed054e6430ff592d47278ba7df55e?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:3FNFhtTqXxO6pHXLHO63Jl
32,Party Girl,100.0,StaySolidRocky,5RqR4ZCCKJDcBLIn4sih9l,Party Girl,94.0,https://p.scdn.co/mp3-preview/734041c8149469e7b104713d2c5ae209eab54003?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:5RqR4ZCCKJDcBLIn4sih9l
33,Slime & B,94.0,"Chris Brown, Young Thug",1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,88.0,https://p.scdn.co/mp3-preview/cd1e4584425d4be8eae7489d704a36c3166a0065?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:1IIKrJVP1C9N7iPtG6eOsK
34,Savage Love (Laxed - Siren Beat),94.0,"Jawsh 685, Jason Derulo",1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),95.0,https://p.scdn.co/mp3-preview/d709526bcdffa6683f85c9255c2fd4e7871ba04c?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:1xQ6trAsedVPCdbtDAmk0c
