Unnamed: 0,acousticness,album,analysis_url,artist_levenshtein,artists,billboard_SongID,billboard_Unnamed: 0,billboard_artist,billboard_date,billboard_isNew,billboard_lastPos,billboard_peakPos,billboard_rank,billboard_title,billboard_weeks,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,popularity,preview_url,speechiness,tempo,time_signature,title_levenshtein,track_href,uri,valence
0.0,0.247,BLAME IT ON BABY,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,95.0,"DaBaby, Roddy Ricch",RockstarDaBaby Featuring Roddy Ricch,0.0,DaBaby Featuring Roddy Ricch,2020-07-11,0.0,1.0,1.0,1.0,Rockstar,11.0,0.746,181733.0,0.69,7ytR5pFWmSjzHJIeQkgog4,0.0,11.0,0.101,-7.956,1.0,ROCKSTAR (feat. Roddy Ricch),100.0,,0.164,89.977,4.0,94.0,https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4,spotify:track:7ytR5pFWmSjzHJIeQkgog4,0.497
1.0,0.00146,After Hours,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,100.0,The Weeknd,Blinding LightsThe Weeknd,3.0,The Weeknd,2020-07-11,0.0,3.0,1.0,3.0,Blinding Lights,31.0,0.514,200040.0,0.73,0VjIjW4GlUZAMYd2vXMi3b,9.54e-05,1.0,0.0897,-5.934,1.0,Blinding Lights,99.0,,0.0598,171.005,4.0,100.0,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0.334
2.0,0.0252,Suga,https://api.spotify.com/v1/audio-analysis/55CHeLEfn5iJ0IIkgaa4si,81.0,Megan Thee Stallion,SavageMegan Thee Stallion Featuring Beyonce,4.0,Megan Thee Stallion Featuring Beyonce,2020-07-11,0.0,2.0,1.0,4.0,Savage,16.0,0.843,155497.0,0.741,55CHeLEfn5iJ0IIkgaa4si,0.0,11.0,0.096,-5.609,1.0,Savage,86.0,https://p.scdn.co/mp3-preview/c0240762e32d735387bb594760d0d84e44102100?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.334,168.983,4.0,100.0,https://api.spotify.com/v1/tracks/55CHeLEfn5iJ0IIkgaa4si,spotify:track:55CHeLEfn5iJ0IIkgaa4si,0.68
3.0,0.342,Collection One,https://api.spotify.com/v1/audio-analysis/0easEmosKkPhksg0qidzXo,100.0,SAINt JHN,RosesSAINt JHN,5.0,SAINt JHN,2020-07-11,0.0,4.0,4.0,5.0,Roses,15.0,0.782,173611.0,0.5,0easEmosKkPhksg0qidzXo,2.05e-05,5.0,0.133,-6.473,0.0,Roses,74.0,https://p.scdn.co/mp3-preview/61499f5316f873a45469beda341cb4d47332eaaf?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.0611,102.001,4.0,100.0,https://api.spotify.com/v1/tracks/0easEmosKkPhksg0qidzXo,spotify:track:0easEmosKkPhksg0qidzXo,0.281
4.0,0.119,Say So (feat. Nicki Minaj),https://api.spotify.com/v1/audio-analysis/11VApNQCWLJdzxWrlmwzUa,95.0,"Doja Cat, Nicki Minaj",Say SoDoja Cat Featuring Nicki Minaj,6.0,Doja Cat Featuring Nicki Minaj,2020-07-11,0.0,6.0,1.0,6.0,Say So,26.0,0.856,206221.0,0.641,11VApNQCWLJdzxWrlmwzUa,4.97e-06,11.0,0.427,-4.64,0.0,Say So (feat. Nicki Minaj),85.0,https://p.scdn.co/mp3-preview/d07fbbe4e6c0ce64f63d8b94c1e5cb893cc24a1d?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.204,111.004,4.0,92.0,https://api.spotify.com/v1/tracks/11VApNQCWLJdzxWrlmwzUa,spotify:track:11VApNQCWLJdzxWrlmwzUa,0.745
5.0,0.317,Intentions,https://api.spotify.com/v1/audio-analysis/364dI1bYnvamSnBJ8JcNzN,95.0,"Justin Bieber, Quavo",IntentionsJustin Bieber Featuring Quavo,7.0,Justin Bieber Featuring Quavo,2020-07-11,0.0,5.0,5.0,7.0,Intentions,21.0,0.811,212869.0,0.553,364dI1bYnvamSnBJ8JcNzN,0.0,9.0,0.105,-6.644,1.0,Intentions,88.0,,0.0552,148.014,4.0,100.0,https://api.spotify.com/v1/tracks/364dI1bYnvamSnBJ8JcNzN,spotify:track:364dI1bYnvamSnBJ8JcNzN,0.86
6.0,0.122,Fine Line,https://api.spotify.com/v1/audio-analysis/6UelLqGlWMcVH1E5c4H7lY,100.0,Harry Styles,Watermelon SugarHarry Styles,8.0,Harry Styles,2020-07-11,0.0,16.0,8.0,8.0,Watermelon Sugar,15.0,0.548,174000.0,0.816,6UelLqGlWMcVH1E5c4H7lY,0.0,0.0,0.335,-4.209,1.0,Watermelon Sugar,95.0,https://p.scdn.co/mp3-preview/0c51b5f7ed852504844feebfb4f4b7f099452662?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.0465,95.39,4.0,100.0,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,spotify:track:6UelLqGlWMcVH1E5c4H7lY,0.557
7.0,0.207,Blueberry Faygo,https://api.spotify.com/v1/audio-analysis/6wJYhPfqk3KGhHRG76WzOh,100.0,Lil Mosey,Blueberry FaygoLil Mosey,9.0,Lil Mosey,2020-07-11,0.0,9.0,9.0,9.0,Blueberry Faygo,21.0,0.774,162547.0,0.554,6wJYhPfqk3KGhHRG76WzOh,0.0,0.0,0.132,-7.909,1.0,Blueberry Faygo,90.0,,0.0383,99.034,4.0,100.0,https://api.spotify.com/v1/tracks/6wJYhPfqk3KGhHRG76WzOh,spotify:track:6wJYhPfqk3KGhHRG76WzOh,0.349
8.0,0.135,My Turn (Deluxe),https://api.spotify.com/v1/audio-analysis/6gxKUmycQX7uyMwJcweFjp,91.0,"Lil Baby, 42 Dugg",We PaidLil Baby & 42 Dugg,10.0,Lil Baby & 42 Dugg,2020-07-11,0.0,18.0,10.0,10.0,We Paid,9.0,0.926,181929.0,0.542,6gxKUmycQX7uyMwJcweFjp,0.0,1.0,0.0877,-5.064,1.0,We Paid (feat. 42 Dugg),87.0,,0.293,135.14,4.0,93.0,https://api.spotify.com/v1/tracks/6gxKUmycQX7uyMwJcweFjp,spotify:track:6gxKUmycQX7uyMwJcweFjp,0.564
9.0,0.0237,Fine Line,https://api.spotify.com/v1/audio-analysis/3jjujdWJ72nww5eGnfs2E7,100.0,Harry Styles,Adore YouHarry Styles,11.0,Harry Styles,2020-07-11,0.0,12.0,6.0,11.0,Adore You,30.0,0.676,207133.0,0.771,3jjujdWJ72nww5eGnfs2E7,7e-06,8.0,0.102,-3.675,1.0,Adore You,88.0,https://p.scdn.co/mp3-preview/2dbeaa922270b3372d221f09c773a38696aed573?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.0483,99.048,4.0,100.0,https://api.spotify.com/v1/tracks/3jjujdWJ72nww5eGnfs2E7,spotify:track:3jjujdWJ72nww5eGnfs2E7,0.569
