,SongID,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,artist,date,isNew,lastPos,peakPos,rank,title,weeks
2,"Whats PoppinJack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2.0,2.0,2.0,2.0,,,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-07-11,0.0,8.0,2.0,2.0,Whats Poppin,21.0
50,If The World Was EndingJP Saxe Featuring Julia Michaels,50.0,50.0,50.0,50.0,,,JP Saxe Featuring Julia Michaels,2020-07-11,0.0,52.0,50.0,50.0,If The World Was Ending,14.0
70,FlexPolo G Featuring Juice WRLD,70.0,70.0,70.0,70.0,,,Polo G Featuring Juice WRLD,2020-07-11,0.0,69.0,30.0,70.0,Flex,7.0
78,ilysurf mesa Featuring Emilee,78.0,78.0,78.0,78.0,,,surf mesa Featuring Emilee,2020-07-11,0.0,74.0,72.0,78.0,ily,6.0
80,Go!Kid LAROI & Juice WRLD,80.0,80.0,80.0,80.0,,,Kid LAROI & Juice WRLD,2020-07-11,0.0,65.0,52.0,80.0,Go!,3.0
98,XJonas Brothers Featuring Karol G,98.0,98.0,98.0,98.0,,,Jonas Brothers Featuring Karol G,2020-07-11,0.0,85.0,33.0,98.0,X,7.0
194,One ShotYoungBoy Never Broke Again Featuring Lil Baby,194.0,194.0,194.0,194.0,,,YoungBoy Never Broke Again Featuring Lil Baby,2020-07-04,1.0,0.0,94.0,94.0,One Shot,1.0
195,Need MeJ.I.,195.0,195.0,195.0,195.0,,,J.I.,2020-07-04,0.0,100.0,95.0,95.0,Need Me,2.0
200,JulyNoah Cyrus & Leon Bridges,200.0,200.0,200.0,200.0,,,Noah Cyrus & Leon Bridges,2020-07-04,0.0,99.0,85.0,100.0,July,16.0
247,HeartlessDiplo Presents Thomas Wesley Featuring Morgan Wallen,247.0,247.0,247.0,247.0,,,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-06-27,0.0,41.0,39.0,47.0,Heartless,21.0
294,Deep End FreestyleSleepy Hallow,294.0,294.0,294.0,294.0,,,Sleepy Hallow,2020-06-27,0.0,80.0,80.0,94.0,Deep End Freestyle,2.0
355,Out WestJACKBOYS Featuring Young Thug,355.0,355.0,355.0,355.0,,,JACKBOYS Featuring Young Thug,2020-06-20,0.0,61.0,38.0,55.0,Out West,22.0
466,TKNROSALIA & Travis Scott,466.0,466.0,466.0,466.0,,,ROSALIA & Travis Scott,2020-06-13,1.0,0.0,66.0,66.0,TKN,1.0
483,"T.DLil Yachty & Tierra Whack Featuring A$AP Rocky & Tyler, The Creator",483.0,483.0,483.0,483.0,,,"Lil Yachty & Tierra Whack Featuring A$AP Rocky & Tyler, The Creator",2020-06-13,1.0,0.0,83.0,83.0,T.D,1.0
493,Sigues Con ElArcangel x Sech,493.0,493.0,493.0,493.0,,,Arcangel x Sech,2020-06-13,0.0,0.0,78.0,93.0,Sigues Con El,3.0
591,Go StupidPolo G Featuring NLE Choppa & Stunna 4 Vegas,591.0,591.0,591.0,591.0,,,Polo G Featuring NLE Choppa & Stunna 4 Vegas,2020-06-06,0.0,67.0,60.0,91.0,Go Stupid,9.0
771,I'm ReadySam Smith & Demi Lovato,771.0,771.0,771.0,771.0,,,Sam Smith & Demi Lovato,2020-05-23,0.0,72.0,36.0,71.0,I'm Ready,4.0
787,JumpDaBaby Featuring YoungBoy Never Broke Again,787.0,787.0,787.0,787.0,,,DaBaby Featuring YoungBoy Never Broke Again,2020-05-23,0.0,83.0,17.0,87.0,Jump,4.0
993,B.S.Jhene Aiko Featuring H.E.R.,993.0,993.0,993.0,993.0,,,Jhene Aiko Featuring H.E.R.,2020-05-09,0.0,0.0,24.0,93.0,B.S.,6.0
998,"PTSDG Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",998.0,998.0,998.0,998.0,,,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",2020-05-09,0.0,98.0,38.0,98.0,PTSD,5.0
1045,SuicidalYNW Melly & Juice WRLD,1045.0,,,,,,YNW Melly & Juice WRLD,2020-04-18,0.0,33.0,20.0,43.0,Suicidal,19.0
1051,BEST ON EARTHRuss & BIA,1051.0,,,,,,Russ & BIA,2020-04-18,0.0,48.0,46.0,49.0,BEST ON EARTH,18.0
1082,"Oprah's Bank AccountLil Yachty, Drake & DaBaby",1082.0,,,,,,"Lil Yachty, Drake & DaBaby",2020-04-18,0.0,74.0,55.0,80.0,Oprah's Bank Account,5.0
1189,La DificilBad Bunny,1189.0,,,,,,Bad Bunny,2020-04-11,0.0,100.0,33.0,87.0,La Dificil,5.0
1362,Strawberry PeelsLil Uzi Vert Featuring Young Thug & Gunna,1362.0,,,,,,Lil Uzi Vert Featuring Young Thug & Gunna,2020-03-28,1.0,0.0,60.0,60.0,Strawberry Peels,1.0
1545,SenoritaShawn Mendes & Camila Cabello,1545.0,,,,,,Shawn Mendes & Camila Cabello,2020-03-14,0.0,35.0,1.0,43.0,Senorita,37.0
1561,HowLil Baby,1561.0,,,,,,Lil Baby,2020-03-14,1.0,0.0,59.0,59.0,How,1.0
1566,ForeverLil Baby Featuring Lil Wayne,1566.0,,,,,,Lil Baby Featuring Lil Wayne,2020-03-14,1.0,0.0,64.0,64.0,Forever,1.0
1578,"NumbersA Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",1578.0,,,,,,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",2020-03-14,0.0,50.0,23.0,76.0,Numbers,3.0
1596,SoliaBad Bunny,1596.0,,,,,,Bad Bunny,2020-03-14,1.0,0.0,94.0,94.0,Solia,1.0
1599,Esta Cabron Ser YoBad Bunny X Anuel AA,1599.0,,,,,,Bad Bunny X Anuel AA,2020-03-14,1.0,0.0,97.0,97.0,Esta Cabron Ser Yo,1.0
1680,Dive BarGarth Brooks & Blake Shelton,1680.0,,,,,,Garth Brooks & Blake Shelton,2020-03-07,0.0,92.0,78.0,78.0,Dive Bar,5.0
1685,TOESDaBaby Featuring Lil Baby & Moneybagg Yo,1685.0,,,,,,DaBaby Featuring Lil Baby & Moneybagg Yo,2020-03-07,0.0,75.0,28.0,83.0,TOES,13.0
